Title,Brand,Price,Rating,Rating Count,Review Count,URL
Qubo Elite Lock by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock,Qubo,"₹13,490",5,5 Ratings &,1 Reviews,https://www.flipkart.com/qubo-elite-lock-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-smart-door/p/itm56a0fc560d344?pid=SLOGZ4MNYSGJESNJ&lid=LSTSLOGZ4MNYSGJESNJPGMB6H&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=en_DYjfe-R-38p2TDv3wyCrEOdNmxTFcKhf5wtrZZdbg0QtHCAE-y7j_Yi_wd4XI3mAaKf5_0tU87iRoYiDno-UqPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
"SPEEDY WiFi Enabled Smart Door Lock for Main Door with 5 in 1 Access | Biometric, 2 Emergency Keys | (No Extra Gateway Required) | 5 in 1 Life LITE |2-Year Warranty & Free Installation by Brand Smart Door Lock",SPEEDY,"₹6,499",4.2,0,0,https://www.flipkart.com/speedy-wifi-enabled-smart-door-lock-main-5-1-access-biometric-2-emergency-keys-no-extra-gateway-required-life-lite-2-year-warranty-free-installation-brand/p/itmb960e398b02b1?pid=SLOH4GTZG4WFWA7B&lid=LSTSLOH4GTZG4WFWA7BE1MGSI&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_82&otracker=search&otracker1=search&fm=organic&iid=en_DYjfe-R-38p2TDv3wyCrEOdNmxTFcKhf5wtrZZdbg0RnwpxergTXM1Ydg1LaBZ1U8WxuOq9m-cu30qzPx6qrsA%3D%3D&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
"BonKaso H9 Smart Door Lock for Home and Office | 6-Way Unlocking Features- Fingerprint, Passcode, Bluetooth, Key Card, Mechanical Key, OTP Access | 2 Year Warranty Smart Door Lock",BonKaso,"₹6,843",3.6,0,0,https://www.flipkart.com/bonkaso-h9-smart-door-lock-home-office-6-way-unlocking-features-fingerprint-passcode-bluetooth-key-card-mechanical-key-otp-access-2-year-warranty/p/itm64cf53416a4fd?pid=SLOH3J7FPJBNGZAZ&lid=LSTSLOH3J7FPJBNGZAZPC4XNE&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_83&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOH3J7FPJBNGZAZ.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
amiciSmart Biometric Smart Door Lock,amiciSmart,"₹11,899",4,0,0,https://www.flipkart.com/amicismart-biometric-smart-door-lock/p/itmad1ee02ab4676?pid=SLOGHYRDCGGUXRCR&lid=LSTSLOGHYRDCGGUXRCRSKQWQW&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_84&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOGHYRDCGGUXRCR.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
IIVAAs Anti-Theft for Motor Bicycle Padlock (Black) Smart Door Lock Smart Door Lock,IIVAAs,₹785,3.7,0,0,https://www.flipkart.com/iivaas-anti-theft-motor-bicycle-padlock-black-smart-door-lock/p/itm92bf8628c0e83?pid=SLOGEETPJ6HNCEVZ&lid=LSTSLOGEETPJ6HNCEVZFDVFQJ&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOGEETPJ6HNCEVZ.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
Phlipton Series 1 pro Smart Door Lock,Phlipton,"₹8,900",4.4,0,0,https://www.flipkart.com/phlipton-series-1-pro-smart-door-lock/p/itmbccbcfe041dae?pid=SLOGMDYGCN3HF33X&lid=LSTSLOGMDYGCN3HF33XQLRTAG&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_86&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOGMDYGCN3HF33X.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
Qubo Smart Elite by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock,Qubo,"₹11,990",4.3,8 Ratings &,1 Reviews,https://www.flipkart.com/qubo-smart-elite-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-door-lock/p/itm0973ead2f8956?pid=SLOGZ4MNB2UW442R&lid=LSTSLOGZ4MNB2UW442RWZHKAR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_87&otracker=search&otracker1=search&fm=organic&iid=en_DYjfe-R-38p2TDv3wyCrEOdNmxTFcKhf5wtrZZdbg0RelEJUl_QFsICd19za-dI_rM0n6Rve0Y3zATSHnAcY6PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
"Atomberg SL1 With Fingerprint, PIN, OTP, NFC Card, App, Key Access & 5 Bolts Smart Door Lock",Atomberg,"₹13,999",4.8,41 Ratings &,19 Reviews,https://www.flipkart.com/atomberg-sl1-fingerprint-pin-otp-nfc-card-app-key-access-5-bolts-smart-door-lock/p/itm51cdcb8b535b2?pid=SLOGTBZ36YXCVHPM&lid=LSTSLOGTBZ36YXCVHPMKFHYJT&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_88&otracker=search&otracker1=search&fm=organic&iid=en_DYjfe-R-38p2TDv3wyCrEOdNmxTFcKhf5wtrZZdbg0To3vxwS4yeS7P5dKQCHVgVpUfO8csGrLuOKZFSMB-Q-vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
Godrej Catus Touch Pro I Smart Digital Lock For Wooden Door I 3 In 1 Access Smart Door Lock,Godrej,"₹10,243",4.7,0,0,https://www.flipkart.com/godrej-catus-touch-pro-smart-digital-lock-wooden-door-3-1-access/p/itm16a3f2f6678a4?pid=SLOHF73WWHBFUFS4&lid=LSTSLOHF73WWHBFUFS4IGDBBP&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_89&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOHF73WWHBFUFS4.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
SLYDER 2037 Smart Door Lock,SLYDER,"₹6,677",4.2,0,0,https://www.flipkart.com/slyder-2037-smart-door-lock/p/itm54e4d535dde47?pid=SLOGKUF7Z8ZTYRYS&lid=LSTSLOGKUF7Z8ZTYRYSZRWXLH&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_3_90&otracker=search&otracker1=search&fm=organic&iid=e915b575-519d-48a6-8824-76afd4b74515.SLOGKUF7Z8ZTYRYS.SEARCH&ppt=None&ppn=None&ssid=th2be9r1fk0000001730089163600&qH=cbd6bd39f1bc0eb5
