Brand,Price,Rating,Rating_Count,Best_Seller_Rank_Home_Improvement,Best_Seller_Rank_Home_Security,Product_Title,Product_URL
Mygate,8450.0,0.0,122,553100,2.0,Mygate Smart Lock SE | 6-Ways to Unlock | Fingerprint | Mobile App Access | OTP | PIN Access | RFID Card | Mechanical Key | Decoy Pin Feature | 3-Years Warranty,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzQ3Nzc4MDcyODMyOjowOjo&url=%2FMygate-Fingerprint-Mechanical-Feature-Warranty%2Fdp%2FB0DD4DKCDH%2Fref%3Dsr_1_193_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Qubo,15990.0,4.4,1082,1716100,11.0,QUBO Smart Door Lock Select from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Access Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 2 Years Brand Warranty | (Black),https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMDk4MzY3MjMzNTMyOjowOjo&url=%2FQUBO-Unlocking-Fingerprint-Mechanical-Stainless%2Fdp%2FB09M8QS88Y%2Fref%3Dsr_1_194_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-194-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Qubo,9490.0,0.0,1472,1218100,5.0,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Copper),https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzQ1NDEyNDg0ODMyOjowOjo&url=%2FQUBO-Essential-Unlocking-Fingerprint-Mechanical%2Fdp%2FB0BS9LFSWJ%2Fref%3Dsr_1_195_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-195-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Godrej Locking Solutions and Systems,13340.0,0.0,593,1397100,8.0,Godrej Digital Lock I Catus Connect I Smart Lock for Wooden Door | 5 in 1 Access I WiFi I Fingerprint I RFID Card I PIN Access I Mechanical Key I Champagne Gold Finish,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzU5MTg1MTM2MjMyOjowOjo&url=%2FGodrej-Unlocking-Fingerprint-Mechanical-Champagne%2Fdp%2FB0C2HKWHQ7%2Fref%3Dsr_1_196_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-196-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
nandati,3133.0,0.0,0,183935100,477.0,"nandati Invisible or Hidden RFID Smart Digital Lock Specially Designed for Wardrobe, Cabinet or Drawer Master & User Cards with Lock, Pack of 1",https://amazon.in/nandati-Invisible-Specially-Designed-Wardrobe/dp/B0C6QXDHBY/ref=sr_1_197?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-197
EQUAL,6490.0,0.0,10,85190100,330.0,"EQUAL Acrylonitrile Butadiene Styrene Smart Door Lock A8 | 4-Way Unlocking | Fingerprint, Pincode, Rfid Access Card, Mechanical Key For Wooden Doors | 1 Year Brand Warranty | Gloss Black",https://amazon.in/Unlocking-Fingerprint-Mechanical-Gloss-Black/dp/B0CV7GJTCS/ref=sr_1_198?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-198
Generic,16999.0,0.0,0,0,0.0,"WALLTON INDUSTRIES Digital Smart Door Lock - Two-Layer Authentication, Bluetooth Fingerprint Password RF Card and Emergency Key 5 Way Open (1 Year Warranty) - Black",https://amazon.in/WALLTON-Industries-Digital-Smart-Door/dp/B0B9482BMN/ref=sr_1_199?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-199
PREMVATI,7999.0,0.0,0,333871100,1293.0,PREMVATI Smart Door Lock with 5-Way Unlocking | Fingerprint | Pincode| RFID Access Card | Mobile App| Mechanical Key | OTP Access |Stainless Steel Mortise with 5 Bolts | Trust of Hero Group | - Silver,https://amazon.in/PREMVATI-Unlocking-Fingerprint-Mechanical-Stainless/dp/B0B66R75D1/ref=sr_1_200?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-200
Dorset,19999.0,0.0,3,229304100,719.0,Dorset Password Door Locks for Main Door [DG502MRG ] Smart Pin and Key Access | Door Thickness 40-90 | Free Installation| Lock for Bedroom and Main Door- [DG502MRG ] Rose Gold Finish,https://amazon.in/Dorset-Password-DG502MRG-Thickness-Installation/dp/B0B9XGHX8G/ref=sr_1_201?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-201
Acquire,2990.0,0.0,0,0,0.0,"Acquire Smart Key Cylindrical Door Lock, Antique Brass, 3 Bolts",https://amazon.in/Acquire-Smart-Cylindrical-Antique-Brass/dp/B0DJ5XXS63/ref=sr_1_202?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-202
