Brand,Price,Rating,Rating_Count,Product_Title,Product_URL,Product Title,Rank
mygate,8450,0.0,122,mygate smart lock se | 6-ways to unlock | fingerprint | mobile app access | otp | pin access | rfid card | mechanical key | decoy pin feature | 3-years warranty,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzQ3Nzc4MDcyODMyOjowOjo&url=%2FMygate-Fingerprint-Mechanical-Feature-Warranty%2Fdp%2FB0DD4DKCDH%2Fref%3Dsr_1_193_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,mygate smart lock se | 6-ways to unlock | fingerprint | mobile app access | otp | pin access | rfid card | mechanical key | decoy pin feature | 3-years warranty,3.0
qubo,15990,4.4,1082,qubo smart door lock select from hero group | 6-way unlocking | fingerprint | pin | rfid access card | bluetooth mobile app | mechanical key | otp access | 2 years brand warranty | (black),https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMDk4MzY3MjMzNTMyOjowOjo&url=%2FQUBO-Unlocking-Fingerprint-Mechanical-Stainless%2Fdp%2FB09M8QS88Y%2Fref%3Dsr_1_194_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-194-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,qubo smart door lock select from hero group | 6-way unlocking | fingerprint | pin | rfid access card | bluetooth mobile app | mechanical key | otp access | 2 years brand warranty | (black),14.0
qubo,9490,0.0,1472,qubo smart door lock essential from hero group | 6-way unlocking | fingerprint | pin | rfid card | bluetooth mobile app | mechanical key | otp access | 1 year brand warranty | (copper),https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzQ1NDEyNDg0ODMyOjowOjo&url=%2FQUBO-Essential-Unlocking-Fingerprint-Mechanical%2Fdp%2FB0BS9LFSWJ%2Fref%3Dsr_1_195_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-195-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,qubo smart door lock essential from hero group | 6-way unlocking | fingerprint | pin | rfid card | bluetooth mobile app | mechanical key | otp access | 1 year brand warranty | (copper),50.0
godrej locking solutions and systems,13340,0.0,593,godrej digital lock i catus connect i smart lock for wooden door | 5 in 1 access i wifi i fingerprint i rfid card i pin access i mechanical key i champagne gold finish,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTE3ODgwNjMyNjM3ODgxOjE3MzAwOTUxODQ6c3BfYXRmX25leHQ6MzAwMzU5MTg1MTM2MjMyOjowOjo&url=%2FGodrej-Unlocking-Fingerprint-Mechanical-Champagne%2Fdp%2FB0C2HKWHQ7%2Fref%3Dsr_1_196_sspa%3Fcrid%3D3MNJ4J5A0A3FY%26dib%3DeyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26qid%3D1730095184%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D8-196-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,godrej digital lock i catus connect i smart lock for wooden door | 5 in 1 access i wifi i fingerprint i rfid card i pin access i mechanical key i champagne gold finish,13.0
nandati,3133,0.0,0,"nandati invisible or hidden rfid smart digital lock specially designed for wardrobe, cabinet or drawer master & user cards with lock, pack of 1",https://amazon.in/nandati-Invisible-Specially-Designed-Wardrobe/dp/B0C6QXDHBY/ref=sr_1_197?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-197,"nandati invisible or hidden rfid smart digital lock specially designed for wardrobe, cabinet or drawer master & user cards with lock, pack of 1",191.0
equal,6490,0.0,10,"equal acrylonitrile butadiene styrene smart door lock a8 | 4-way unlocking | fingerprint, pincode, rfid access card, mechanical key for wooden doors | 1 year brand warranty | gloss black",https://amazon.in/Unlocking-Fingerprint-Mechanical-Gloss-Black/dp/B0CV7GJTCS/ref=sr_1_198?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-198,"equal acrylonitrile butadiene styrene smart door lock a8 | 4-way unlocking | fingerprint, pincode, rfid access card, mechanical key for wooden doors | 1 year brand warranty | gloss black",192.0
generic,16999,0.0,0,"wallton industries digital smart door lock - two-layer authentication, bluetooth fingerprint password rf card and emergency key 5 way open (1 year warranty) - black",https://amazon.in/WALLTON-Industries-Digital-Smart-Door/dp/B0B9482BMN/ref=sr_1_199?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-199,"wallton industries digital smart door lock - two-layer authentication, bluetooth fingerprint password rf card and emergency key 5 way open (1 year warranty) - black",193.0
premvati,7999,0.0,0,premvati smart door lock with 5-way unlocking | fingerprint | pincode| rfid access card | mobile app| mechanical key | otp access |stainless steel mortise with 5 bolts | trust of hero group | - silver,https://amazon.in/PREMVATI-Unlocking-Fingerprint-Mechanical-Stainless/dp/B0B66R75D1/ref=sr_1_200?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-200,premvati smart door lock with 5-way unlocking | fingerprint | pincode| rfid access card | mobile app| mechanical key | otp access |stainless steel mortise with 5 bolts | trust of hero group | - silver,167.0
dorset,19999,0.0,3,dorset password door locks for main door [dg502mrg ] smart pin and key access | door thickness 40-90 | free installation| lock for bedroom and main door- [dg502mrg ] rose gold finish,https://amazon.in/Dorset-Password-DG502MRG-Thickness-Installation/dp/B0B9XGHX8G/ref=sr_1_201?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-201,dorset password door locks for main door [dg502mrg ] smart pin and key access | door thickness 40-90 | free installation| lock for bedroom and main door- [dg502mrg ] rose gold finish,194.0
acquire,2990,0.0,0,"acquire smart key cylindrical door lock, antique brass, 3 bolts",https://amazon.in/Acquire-Smart-Cylindrical-Antique-Brass/dp/B0DJ5XXS63/ref=sr_1_202?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-202,"acquire smart key cylindrical door lock, antique brass, 3 bolts",195.0
